NAME;Abb;SB;PB;BS;BB
AUTOTHROPH_FLAGELLATE;AUT_FLA;1;1;1;1
BACTERIA;BAC_IND;1;1;1;1
DETRITUS;DET_IND;1;1;1;1
DIATOM;DIATOM;1;1;1;1
DISSOLVED_ORGANIC_MATTER;DOM;1;1;1;1
HETEROTROPH_FLAGELLATE;HET_FLA;1;1;1;1
MIXOTROPH_FLAGELLATE;MIX_FLA;1;1;1;1
PHYTOPLANKTON;PHY_IND;1;1;1;1
PROTOZOOPLANKTON;PROZOO;1;1;1;1
ACARTIA_SPP;ACA_SPP;1;1;1;1
BOSMINA_SPP;BOS_COR;0;1;1;1
CALANOIDA;CALANO;1;0;0;0
CENTROPAGES_HAMATUS;CEN_HAM;1;1;0;0
CYCLOPS_SP;CYC_SP;0;0;0;1
DAPHNIA_SP;DAP_SP;0;0;0;1
EURYTEMORA_AFFINIS;EUR_AFF;1;1;1;1
EVADNE_SP;EVA_SP;1;1;1;1
FRITILLARIA_SP;FRI_SP;1;1;0;0
HARPACTICOIDA;HARPA;0;0;0;1
KERATELLA_SP;KER_SP;0;1;1;1
LIMNOCALANUS_MACRURUS;LIM_MAC;0;0;1;1
PLEOPLSIS_POLYPHEIMOIDES;PLE_POL;0;1;1;1
PODON_SP;POD_SP;1;0;1;1
PSEUDOCALANUS_SPP;PSE_SPP;1;1;0;0
ROTIFERA_INDET;ROT_IND;1;0;0;0
SYNCHAETA_SP;SYN_SP;0;1;1;1
TEMORA_LONGICORNIS;TEM_LON;1;1;0;0
AMPHARETE_SP;AMP_SP;1;0;0;0
ASTARTE_SP;AST_SP;1;0;0;0
BYLGIDES_SARSI;BYL_SAR;1;1;0;0
CAPITELLA_CAPITATA;CAP_CAP;1;0;0;0
DIASTYLIS_RATHKEI;DIA_RAT;1;0;0;0
HALICRYPTUS_SPINULOSUS;HAL_SPI;1;1;0;0
LIMECOLA_BALTHICA;LIM_BAL;1;1;0;0
MARENZELLERIA_SP;MAR_SP;1;1;1;1
MONOPOREIA_AFFINIS;MON_AFF;0;1;1;1
MYSIS_SPP;MYS_SPP;0;1;1;1
MYTILUS_EDULIS;MYT_EDU;0;1;0;0
NEMERTINI_INDET;NEM_INDET;1;0;0;0
PONTOPOREIA_FEMORATA;PON_FEM;1;1;0;0
PRIAPULUS_CAUDATUS;PRIS_CAU;1;0;0;0
SADURIA_ENTOMON;SAD_ENT;1;1;1;1
SCOLOPLOS_ARMIGER;SCO_ARM;1;0;0;0
TEREBELLIDES_STROEMI;TER_STR;1;0;0;0
CLUPEA_HARENGUS;CLU_HAR;1;1;1;1
COREGONUS_ALBULA;COR_ALB;0;0;0;1
COREGONUS_LAVARETUS;COR_LAV;0;0;1;0
GADUS_MORHUA;GAD_MOR;1;1;0;0
GASTEROSTEUS_ACULEATUS;GAS_ACU;1;1;0;0
LIMANDA_LIMANDA;LIM_LIM;1;0;0;0
LOTA_LOTA;LOT_LOT;0;0;1;1
MYXOCEPHALUS_QUADRICORNIS;MYX_QUA;1;1;1;0
OSMERUS_EPERLANUS;OSM_EPE;1;0;0;0
PLATICHTHYS_FLESUS;PLA_FLE;1;1;0;0
PLEURONECTES_PLATESSA;PLE_PLA;1;0;0;0
SPRATTUS_SPRATTUS;SPR_SPR;1;1;1;0
ALCA_TORDA;ALC_TOR;1;1;0;0
CLANGULA_HYEMALIS;CLA_HYE;1;0;0;0
LARUS_SPP;LAR_MAR;1;1;1;1
MERGUS_SPP;MER_SPP;0;1;1;1
PHALACROCORAX_CARBO;PHA_CAR;1;1;1;1
SOMATERA_MOLLISSIMA;SOM_MOL;0;1;0;0
URIA_AALGE;URI_ALG;1;1;0;0
HALICHOERUS_GRYPUS;HAL_GRY;1;1;1;1
PUSA_HISPIDA;PHO_HIS_BOT;0;1;1;1
PHOCA_VITULINA;PHO_VIT;1;0;0;0
PHOCOENA_PHOCOENA;PHO_PHO;1;0;0;0
